code,level,title,href,admin_path,parent_code,parent_title
8.5.6,3,6. Báo cáo biểu đồ,/ld/ceo/chartdetail-dashboard,/admin/ld/ceo/chartdetail-dashboard,8.5,8.5 Quản trị
8.5.7,3,7. Báo cáo doanh số,/ld/thong-ke/bao-cao-doanh-so,/admin/ld/thong-ke/bao-cao-doanh-so,8.5,8.5 Quản trị
8.5.8,3,8. Báo cáo doanh số V2,/ld/thong-ke/bao-cao-doanh-so-v2,/admin/ld/thong-ke/bao-cao-doanh-so-v2,8.5,8.5 Quản trị
8.5.9,3,9. Power dashboard,/ld/ceo/power-dashboard,/admin/ld/ceo/power-dashboard,8.5,8.5 Quản trị
8.5.10,3,10. Thống kê khách hàng mua lại,/ld/thong-ke/thong-ke-khach-hang-mua-lai,/admin/ld/thong-ke/thong-ke-khach-hang-mua-lai,8.5,8.5 Quản trị
8.5.11,3,11. Thống kê KH mua lại theo số sp,/ld/thong-ke/thong-ke-khach-hang-mua-lai-theo-so-sp,/admin/ld/thong-ke/thong-ke-khach-hang-mua-lai-theo-so-sp,8.5,8.5 Quản trị
8.5.12,3,12. Thống kê KH mua lại theo sản phẩm,/ld/thong-ke/thong-ke-khach-hang-mua-lai-theo-san-pham,/admin/ld/thong-ke/thong-ke-khach-hang-mua-lai-theo-san-pham,8.5,8.5 Quản trị
8.5.13,3,13. Báo cáo thao tác nhập số,/ld/thong-ke/bao-cao-thao-tac-nhap-so,/admin/ld/thong-ke/bao-cao-thao-tac-nhap-so,8.5,8.5 Quản trị
8.5.14,3,14. Báo cáo tỉ lệ chốt đơn sản phẩm,/ld/thong-ke/bao-cao-ti-le-chot-don-san-pham,/admin/ld/thong-ke/bao-cao-ti-le-chot-don-san-pham,8.5,8.5 Quản trị
8.5.15,3,15. Bảng tổng hợp chia data V2,/ld/ceo/bang-tong-hop-chia-so2,/admin/ld/ceo/bang-tong-hop-chia-so2,8.5,8.5 Quản trị
8.5.16,3,16. Báo cáo care đơn,/bao-cao/bao-cao-care-don,/admin/bao-cao/bao-cao-care-don,8.5,8.5 Quản trị
8.5.17,3,17. Báo cáo chia số care đơn,/ld/ceo/bang-tong-hop-chia-so-kho,/admin/ld/ceo/bang-tong-hop-chia-so-kho,8.5,8.5 Quản trị
8.6,2,8.6 Số liệu nâng cao,#,,8,8. Báo cáo thống kê
8.7,2,8.7 Khách hàng 360,#,,8,8. Báo cáo thống kê
8.7.1,3,1. Thống kê khách hàng đa chiều,/ld/thong-ke/khach-hang-360-thong-ke-lan-mua-lai,/admin/ld/thong-ke/khach-hang-360-thong-ke-lan-mua-lai,8.7,8.7 Khách hàng 360
9,1,9. Dịch vụ trả phí,#,,,
9.1,2,9.1 Tổng đài,#,,9,9. Dịch vụ trả phí
9.1.3,3,3. Tổng đài user,/ld/tong-dai/tong-dai-user,/admin/ld/tong-dai/tong-dai-user,9.1,9.1 Tổng đài
9.1.4,3,4. Quản lý lịch sử cuộc gọi,/ld/tong-dai/lich-su-cuoc-goi,/admin/ld/tong-dai/lich-su-cuoc-goi,9.1,9.1 Tổng đài
9.1.5,3,5. Thống kê,/ld/tong-dai/dash-board,/admin/ld/tong-dai/dash-board,9.1,9.1 Tổng đài
9.1.6,3,6. Cài đặt tổng đài,/ld/tong-dai/tong-dai-don-vi-khach-hang,/admin/ld/tong-dai/tong-dai-don-vi-khach-hang,9.1,9.1 Tổng đài
9.1.7,3,7. Download App Pushcall,https://test.pushsale.vn/data/mobile_app/app-release-pushcall-56.apk,,9.1,9.1 Tổng đài
9.1.8,3,8. Quản lý sim push call,/ld/tong-dai/danh-sach-sim,/admin/ld/tong-dai/danh-sach-sim,9.1,9.1 Tổng đài
9.2,2,9.2 Quản lý notification,#,,9,9. Dịch vụ trả phí
9.2.2,3,2. Cấu hình thông báo,/ld/quan-ly-thong-bao/cau-hinh-thong-bao,/admin/ld/quan-ly-thong-bao/cau-hinh-thong-bao,9.2,9.2 Quản lý notification
9.2.3,3,3. Quản lý tin nhắn mẫu,/ld/quan-ly-thong-bao/tin-nhan-mau,/admin/ld/quan-ly-thong-bao/tin-nhan-mau,9.2,9.2 Quản lý notification
9.2.4,3,4. Quản lý SMS,/ld/quan-ly-thong-bao/quan-ly-sms,/admin/ld/quan-ly-thong-bao/quan-ly-sms,9.2,9.2 Quản lý notification
